Id,Role,Role_M,Name,Squad,Price,Age,FVM,Pg24_25,Mv24_25,Mf24_25,Pg23_24,Mv23_24,Mf23_24,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,FVM24_25,FVM23_24,FVM22_23,FVM21_22,FVM20_21,FVM19_20,FVM18_19,ExpectedMf
4867,P,Por,Turati,Sassuolo,8,23,5,30.0,6.3,4.75,31.0,6.19,4.42,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.25,4.25,23.0,12.0,,,0.0,0.0,,4.75
2861,P,Por,Semper,Pisa,7,27,3,,,,,,,,,,1.0,6.5,5.5,,,,,,,,,,0.0,,,0.0,4.76
7172,P,Por,Pessina Mas.,Bologna,6,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
5116,P,Por,Martinez Jo.,Inter,5,27,1,5.0,6.3,5.7,36.0,6.14,4.97,,,,,,,,,,,,,4.0,40.0,,,,,,4.75
7337,P,Por,Motta,Lazio,5,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,4.82
2722,P,Por,Ravaglia F.,Bologna,4,25,3,12.0,6.0,4.83,6.0,6.33,6.33,0.0,0.0,0.0,,,,4.0,5.88,3.38,,,,1.0,1.0,1.0,,0.0,,,4.75
6417,P,Por,Furlanetto,Lazio,3,23,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,4.74
6403,P,Por,Christensen O.,Fiorentina,2,26,1,0.0,0.0,0.0,4.0,5.5,3.25,,,,,,,,,,,,,1.0,1.0,,,,,,4.75
2297,P,Por,Rossi F.,Atalanta,1,34,1,0.0,0.0,0.0,1.0,6.5,6.5,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,1.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.83
4,P,Por,Sportiello,Atalanta,1,33,1,2.0,6.0,5.0,7.0,6.14,4.57,15.0,6.13,4.73,5.0,6.3,5.3,15.0,6.23,5.03,6.0,6.17,5.33,1.0,2.0,23.0,0.0,0.0,0.0,0.0,4.81
4929,P,Por,Ciocci,Cagliari,1,23,1,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,,4.74
2809,P,Por,Vigorito,Como,1,35,1,0.0,0.0,0.0,,,,,,,,,,,,,5.0,5.9,4.0,1.0,,,,,0.0,,4.84
6505,P,Por,Nava,Cremonese,1,21,1,0.0,0.0,0.0,1.0,5.5,4.5,,,,,,,,,,,,,1.0,1.0,,,,,,4.74
6991,P,Por,Siegrist,Genoa,1,33,1,2.0,6.5,5.5,,,,,,,,,,,,,,,,,,,,,,,4.81
219,P,Por,Sommariva,Genoa,1,28,1,1.0,7.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,1.0,,,,,,4.76
1926,P,Por,Di Gennaro,Inter,1,31,1,0.0,0.0,0.0,1.0,6.5,6.5,,,,,,,,,,,,,1.0,1.0,,,,,,4.79
1930,P,Por,Pinsoglio,Juventus,1,35,1,0.0,0.0,0.0,1.0,6.5,6.5,0.0,0.0,0.0,1.0,6.5,5.5,1.0,6.0,5.0,1.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.84
2401,P,Por,Fruchtl,Lecce,1,25,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,4.74
6523,P,Por,Samooja,Lecce,1,22,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,1.0,,,,,,4.74
2815,P,Por,Terracciano,Milan,1,35,1,3.0,6.17,5.17,33.0,6.27,5.26,29.0,6.0,4.78,32.0,5.97,4.72,4.0,6.25,6.0,7.0,6.36,5.64,20.0,65.0,38.0,0.0,0.0,0.0,0.0,4.84
6813,P,Por,Torriani,Milan,1,20,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,4.74
2845,P,Por,Contini,Napoli,1,29,1,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,0.0,,,4.77
5338,P,Por,Rinaldi,Parma,1,22,1,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,4.74
2271,P,Por,Nicolas,Pisa,1,37,1,,,,,,,,,,,,,2.0,5.5,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,4.87
574,P,Por,Scuffet,Pisa,1,29,1,14.0,5.89,4.18,31.0,6.13,4.31,,,,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,29.0,15.0,,,0.0,,,4.77
7169,P,Por,Zelezny,Roma,1,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
610,P,Por,Gollini,Roma,1,30,1,7.0,5.86,4.07,7.0,6.0,4.86,7.0,6.07,5.21,,,,25.0,6.1,5.26,33.0,6.15,4.83,38.0,5.0,8.0,,0.0,0.0,0.0,4.78
2127,P,Por,Satalino,Sassuolo,1,26,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,4.75
7179,P,Por,Israel,Torino,1,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
543,P,Por,Padelli,Udinese,1,39,1,1.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.17,3.5,1.0,6.0,5.0,3.0,5.33,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.91
6842,P,Por,Sava,Udinese,1,23,1,12.0,6.04,4.67,,,,,,,,,,,,,,,,1.0,,,,,,,4.74
511,P,Por,Perilli,Verona,1,30,1,2.0,6.0,5.0,1.0,7.5,5.5,1.0,6.5,6.5,,,,,,,,,,1.0,1.0,1.0,,,,,4.78
7185,P,Por,Nunziante,Udinese,1,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
158,P,Por,Lezzerini,Fiorentina,1,30,1,,,,,,,,,,6.0,6.17,4.5,,,,,,,,,,0.0,,,,4.78
2211,P,Por,Silvestri,Cremonese,1,34,1,5.0,5.7,3.5,17.0,5.82,4.18,38.0,6.24,4.97,35.0,6.17,4.73,34.0,6.21,4.9,35.0,6.2,4.94,,1.0,29.0,0.0,0.0,0.0,,4.83
7236,P,Por,Toniolo,Verona,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
7261,P,Por,Cavlina,Como,1,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
7285,P,Por,Ferrante,Napoli,1,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
7042,P,Por,Calligaris,Inter,1,20,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.74
7301,P,Por,Tornqvist,Como,1,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
6650,P,Por,Sherri,Cagliari,1,28,1,7.0,5.86,4.29,,,,,,,,,,,,,,,,1.0,,,,,,,4.76
7363,P,Por,Siviero,Torino,1,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
7382,P,Por,Pannozzo,Lazio,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
7383,P,Por,Giacomone,Lazio,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
254,D,E,Dimarco,Inter,30,27,320,32.0,6.31,6.86,30.0,6.48,7.18,33.0,6.21,6.7,25.0,6.12,6.34,35.0,6.14,6.57,8.0,6.0,5.94,101.0,150.0,53.0,0.0,0.0,0.0,0.0,7.9
2788,D,Dc,Bremer,Juventus,20,28,74,6.0,6.5,6.42,36.0,6.24,6.36,30.0,6.05,6.35,33.0,6.39,6.59,33.0,6.08,6.5,27.0,5.78,6.0,57.0,80.0,55.0,0.0,0.0,0.0,0.0,6.32
5022,D,Dc,Pavlovic,Milan,17,24,60,22.0,5.91,6.11,,,,,,,,,,,,,,,,29.0,,,,,,,6.25
6832,D,E,Palestra,Cagliari,16,20,75,3.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,6.5
6893,D,Dc,Kempf,Como,16,30,18,31.0,5.85,5.76,,,,,,,,,,,,,,,,6.0,,,,,,,5.93
1852,D,Ds;E,Spinazzola,Napoli,16,32,33,23.0,6.07,6.22,23.0,6.09,6.3,26.0,6.04,6.25,2.0,6.25,6.0,25.0,6.2,6.52,22.0,6.25,6.43,41.0,20.0,25.0,0.0,0.0,0.0,0.0,6.13
5526,D,Dc,Scalvini,Atalanta,15,21,22,4.0,5.5,5.25,33.0,6.06,6.2,32.0,5.95,6.03,14.0,5.96,6.14,,,,,,,12.0,40.0,23.0,0.0,,,,6.02
6217,D,Dc,Bisseck,Inter,15,24,41,27.0,6.0,6.33,11.0,6.36,7.0,,,,,,,,,,,,,11.0,27.0,,,,,,6.18
2296,D,Dc,Mancini,Roma,15,29,54,37.0,6.18,6.26,35.0,5.99,6.2,35.0,6.11,6.16,33.0,5.88,5.64,33.0,6.14,6.41,32.0,6.03,5.88,26.0,60.0,29.0,0.0,0.0,0.0,0.0,6.24
5750,D,Dc,Ostigard,Genoa,15,26,50,,,,20.0,5.9,6.0,6.0,6.0,5.92,15.0,5.63,5.43,,,,,,,,14.0,6.0,0.0,,,,6.18
4976,D,Dd;Dc,Kalulu,Juventus,14,25,68,28.0,6.02,6.05,7.0,5.86,5.86,32.0,5.75,5.78,24.0,6.33,6.46,10.0,5.65,5.9,,,,12.0,12.0,18.0,0.0,0.0,,,6.28
4657,D,B;Dd;E,Celik,Roma,14,28,14,30.0,5.78,5.77,12.0,5.92,5.88,21.0,5.81,5.69,,,,,,,,,,12.0,7.0,6.0,,,,,5.97
7181,D,E,Wesley,Roma,14,21,46,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
6956,D,Dc,Solet,Udinese,14,25,55,19.0,6.16,6.29,,,,,,,,,,,,,,,,,,,,,,,6.26
2120,D,Dc,Bastoni,Inter,13,26,40,32.0,6.42,6.55,28.0,6.32,6.45,29.0,6.12,6.14,31.0,6.21,6.31,33.0,6.11,6.08,25.0,5.98,6.04,50.0,85.0,32.0,0.0,0.0,0.0,0.0,6.22
4807,D,Dc,Hermoso,Roma,13,30,25,4.0,5.12,4.88,,,,,,,,,,,,,,,,,,,,,,,6.03
6986,D,B;Dd;E,Rensch,Roma,13,22,17,8.0,6.06,6.19,,,,,,,,,,,,,,,,,,,,,,,6.07
4159,D,Dc,Akanji,Inter,13,30,64,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
554,D,E,Zappacosta,Atalanta,12,33,18,30.0,5.98,6.4,31.0,5.92,6.06,21.0,6.12,6.64,31.0,6.08,6.24,25.0,6.22,6.72,9.0,5.72,5.83,30.0,33.0,24.0,0.0,0.0,0.0,,6.28
5513,D,E,Dumfries,Inter,12,29,56,29.0,6.19,6.91,30.0,6.1,6.53,34.0,5.91,6.0,32.0,6.22,6.77,,,,,,,45.0,85.0,14.0,0.0,,,,6.58
4317,D,Dc,N'Dicka,Roma,12,26,51,38.0,6.05,6.03,25.0,5.86,5.86,,,,,,,,,,,,,20.0,35.0,,,,,,6.18
2160,D,E,Gosens,Fiorentina,11,31,19,32.0,6.12,6.59,0.0,0.0,0.0,25.0,5.96,6.3,11.0,6.14,6.36,32.0,6.27,7.28,33.0,6.39,7.38,41.0,,20.0,0.0,0.0,0.0,0.0,6.33
5514,D,Ds;Dc,Vasquez,Genoa,11,26,26,36.0,6.06,6.18,35.0,6.16,6.19,23.0,5.78,5.76,28.0,5.89,5.88,,,,,,,16.0,17.0,8.0,0.0,,,,6.08
6766,D,Ds;Dc,Kelly L.,Juventus,11,26,27,12.0,5.67,5.62,,,,,,,,,,,,,,,,,,,,,,,6.06
4409,D,Dc,Rrahmani,Napoli,11,31,45,38.0,6.14,6.17,30.0,5.93,6.15,28.0,6.14,6.36,33.0,6.27,6.56,14.0,6.14,6.29,36.0,5.94,5.9,26.0,38.0,44.0,0.0,0.0,0.0,,6.17
5862,D,Ds;E,Valeri,Parma,11,27,22,34.0,5.94,6.25,15.0,5.6,5.57,37.0,6.08,6.31,,,,,,,,,,11.0,15.0,16.0,,,,,6.08
6485,D,Dd;Dc,Kristensen T.,Udinese,11,23,14,21.0,5.57,5.6,26.0,5.79,5.75,,,,,,,,,,,,,8.0,18.0,,,,,,5.91
7211,D,Dd;E,Athekame,Milan,11,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,5.87
5678,D,Dd;E,Holm,Juventus,10,25,8,16.0,5.94,6.12,18.0,5.94,6.08,18.0,6.06,6.17,0.0,0.0,0.0,,,,,,,24.0,25.0,8.0,,,,,5.98
4734,D,Ds;E,Miranda J.,Bologna,10,25,25,29.0,6.05,6.16,,,,,,,,,,,,,,,,16.0,,,,,,,6.08
4994,D,Dd;E,Vojvoda,Como,10,30,12,27.0,5.96,6.04,21.0,5.88,5.95,27.0,5.85,5.98,29.0,6.02,6.07,19.0,5.71,6.03,,,,12.0,13.0,9.0,0.0,0.0,,,5.98
6867,D,Ds;E,Valle,Como,10,21,17,13.0,5.81,5.73,,,,,,,,,,,,,,,,,,,,,,,5.94
5885,D,E,Dodò,Fiorentina,10,26,30,35.0,6.19,6.21,6.0,5.75,5.75,33.0,5.88,5.98,,,,,,,,,,25.0,15.0,32.0,,,,,6.31
2593,D,Ds;E,Martin,Genoa,10,28,11,36.0,6.17,6.32,20.0,5.92,5.92,,,,,,,,,,,,,13.0,20.0,,,,,,6.03
5877,D,B;Ds;E,Carlos Augusto,Inter,10,26,15,28.0,6.2,6.61,35.0,6.14,6.21,35.0,6.16,6.76,,,,,,,,,,20.0,27.0,58.0,,,,,6.15
6989,D,Dc,Tiago Gabriel,Lecce,10,21,25,2.0,6.25,6.25,,,,,,,,,,,,,,,,,,,,,,,6.04
4502,D,Ds;E,Gallo,Lecce,10,28,15,31.0,5.79,5.65,34.0,5.94,6.0,31.0,5.82,5.65,,,,,,,0.0,0.0,0.0,11.0,23.0,8.0,,,,,5.92
6496,D,Ds;E,Bartesaghi,Milan,10,19,15,3.0,5.33,5.0,3.0,6.0,6.0,,,,,,,,,,,,,,2.0,,,,,,5.88
6202,D,Dc,Beukema,Napoli,10,27,10,34.0,5.93,5.94,30.0,6.02,6.02,,,,,,,,,,,,,16.0,40.0,,,,,,5.92
2816,D,Dd;E,Di Lorenzo,Napoli,10,32,28,37.0,6.15,6.36,36.0,6.07,6.21,37.0,6.26,6.58,33.0,6.2,6.36,36.0,5.97,6.15,33.0,5.88,6.17,72.0,55.0,67.0,0.0,0.0,0.0,0.0,6.13
6664,D,B;Dd;E,Delprato,Parma,10,23,22,34.0,6.03,6.21,,,,,,,,,,,,,,,,14.0,,,,,,,6.15
4263,D,Dc,Kabasele,Udinese,10,34,9,16.0,5.84,6.22,10.0,5.75,5.8,,,,,,,,,,,,,4.0,5.0,,,,,,5.97
6869,D,Dc,Ramon,Como,10,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
7220,D,Dd;E,Belghali,Verona,10,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,5.98
5427,D,Ds;E,Gutierrez,Napoli,10,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
7329,D,Ds;E,Obrador,Torino,10,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,5.93
4210,D,Dc,Mina,Cagliari,9,30,12,31.0,6.06,6.06,15.0,6.03,6.27,,,,,,,,,,,,,13.0,25.0,,,,,,5.96
5435,D,Ds;E,Moreno Alb.,Como,9,33,10,23.0,5.96,5.87,,,,,,,,,,,,,,,,17.0,,,,,,,5.93
5520,D,E,Cambiaso,Juventus,9,25,17,32.0,6.09,6.31,34.0,6.0,6.12,31.0,5.97,6.03,25.0,5.94,6.12,,,,,,,35.0,46.0,12.0,0.0,,,,6.27
5835,D,Dc,Baschirotto,Cremonese,9,29,13,38.0,5.86,5.97,37.0,5.76,5.72,37.0,6.07,6.23,,,,,,,,,,20.0,25.0,34.0,,,,,5.95
7143,D,Ds;E,Angori,Pisa,9,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,5.94
6642,D,Dc,Coco,Torino,9,26,12,32.0,5.86,5.83,,,,,,,,,,,,,,,,22.0,,,,,,,5.91
7219,D,E,Bernasconi,Atalanta,9,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,6.21
393,D,Dc,Luperto,Cremonese,8,29,12,36.0,6.0,6.08,38.0,6.0,6.05,36.0,5.93,6.01,22.0,5.75,5.61,22.0,5.41,5.3,7.0,5.64,5.5,14.0,40.0,22.0,0.0,0.0,0.0,0.0,5.96
4433,D,E,Zortea,Bologna,8,27,12,35.0,6.07,6.6,19.0,6.16,6.63,15.0,6.0,6.1,23.0,5.78,5.96,,,,,,,16.0,55.0,7.0,0.0,,,,6.3
5833,D,Dc,Gila,Lazio,8,25,16,32.0,6.05,5.95,21.0,6.02,5.93,2.0,5.5,5.5,,,,,,,,,,11.0,23.0,2.0,,,,,5.96
460,D,Dc,Romagnoli,Lazio,8,30,16,32.0,5.84,5.91,28.0,5.96,5.8,34.0,6.21,6.29,17.0,6.0,6.0,22.0,5.98,6.0,35.0,6.11,6.14,26.0,32.0,32.0,0.0,0.0,0.0,0.0,5.95
2188,D,Dd;Ds;E,Marusic,Lazio,8,32,12,31.0,5.85,6.16,37.0,5.72,5.73,33.0,6.02,5.92,33.0,5.65,5.65,36.0,5.79,5.94,14.0,6.14,6.54,10.0,21.0,18.0,0.0,0.0,0.0,0.0,6.0
4751,D,Dc,Tomori,Milan,8,27,21,18.0,5.86,5.81,25.0,6.0,6.32,33.0,6.08,6.09,31.0,6.29,6.23,17.0,6.26,6.44,,,,41.0,75.0,43.0,0.0,0.0,,,5.96
2724,D,Dc,Buongiorno,Napoli,8,26,13,22.0,6.36,6.45,29.0,6.31,6.5,34.0,6.12,6.15,18.0,5.86,5.81,12.0,5.67,5.5,0.0,0.0,0.0,57.0,90.0,36.0,0.0,0.0,,,6.04
6663,D,Dc,Circati,Parma,8,21,13,6.0,5.83,5.75,,,,,,,,,,,,,,,,8.0,,,,,,,5.97
7155,D,Dc,Muharemovic,Sassuolo,8,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
4665,D,Dc,Maripan,Torino,8,32,8,28.0,5.93,5.93,,,,,,,,,,,,,,,,15.0,,,,,,,5.91
6631,D,Dc,Ghilardi,Roma,8,22,11,24.0,5.73,5.54,,,,,,,,,,,,,,,,1.0,,,,,,,5.85
6672,D,Dc,Idzes,Sassuolo,8,25,12,35.0,5.96,5.97,,,,,,,,,,,,,,,,9.0,,,,,,,5.94
4137,D,Dc,Diego Carlos,Como,8,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
6550,D,B;Ds;E,Garcia U.,Sassuolo,8,31,17,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
787,D,Dc,Djimsiti,Atalanta,7,32,13,33.0,5.88,5.88,36.0,5.94,5.92,22.0,5.91,5.89,29.0,5.86,5.84,33.0,6.09,6.03,34.0,6.07,6.21,18.0,33.0,12.0,0.0,0.0,0.0,0.0,5.93
2640,D,B;Ds;E,Kolasinac,Atalanta,7,32,12,23.0,6.13,5.98,29.0,6.03,6.07,,,,,,,,,,,,,21.0,33.0,,,,,,5.99
6042,D,Dc,Lucumì,Bologna,7,27,12,32.0,5.83,5.7,29.0,6.1,6.07,33.0,5.83,5.68,,,,,,,,,,14.0,23.0,17.0,,,,,5.89
5701,D,Ds;Dc,Obert,Cagliari,7,23,13,19.0,5.95,6.05,13.0,5.35,5.31,,,,4.0,5.88,5.88,,,,,,,3.0,6.0,,0.0,,,,5.99
6660,D,Dc,Marcandalli,Genoa,7,22,12,8.0,5.88,5.75,,,,,,,,,,,,,,,,1.0,,,,,,,5.96
6814,D,Dd;E,Norton-Cuffy,Genoa,7,21,14,10.0,5.7,5.7,,,,,,,,,,,,,,,,5.0,,,,,,,5.92
7012,D,Dc,Provstgaard,Lazio,7,20,12,1.0,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,5.96
5812,D,Dd;Ds;E,Terracciano F.,Cremonese,7,22,11,7.0,5.71,5.57,19.0,5.89,5.89,13.0,6.08,6.12,,,,,,,,,,1.0,14.0,3.0,,,,,5.93
4772,D,E,Angelino,Roma,7,28,7,38.0,6.14,6.32,16.0,5.94,5.88,,,,,,,,,,,,,27.0,33.0,,,,,,6.22
6426,D,Dd;E,Pedersen,Torino,7,24,12,23.0,5.61,5.54,23.0,5.72,5.72,,,,,,,,,,,,,12.0,17.0,,,,,,5.88
6047,D,Dd;E,Ehizibue,Udinese,7,25,10,31.0,5.85,5.81,20.0,5.88,5.82,21.0,5.79,5.93,,,,,,,,,,8.0,6.0,12.0,,,,,5.93
6639,D,Ds;E,Frese,Verona,7,27,12,7.0,5.79,5.79,,,,,,,,,,,,,,,,7.0,,,,,,,5.99
6046,D,Dc,Hien,Atalanta,6,26,10,29.0,5.95,5.78,22.0,5.95,5.82,32.0,5.94,5.8,,,,,,,,,,21.0,28.0,18.0,,,,,5.89
5578,D,Dd;Dc,Kossounou,Atalanta,6,24,8,17.0,5.94,5.91,,,,,,,,,,,,,,,,26.0,,,,,,,5.94
4887,D,E,Bellanova,Atalanta,6,25,11,35.0,6.04,6.26,36.0,6.14,6.35,11.0,6.0,6.0,31.0,5.82,5.9,0.0,0.0,0.0,1.0,6.0,6.0,45.0,65.0,2.0,0.0,,0.0,,6.23
4461,D,B;Dd;E,Zappa,Cagliari,6,25,8,36.0,5.75,5.86,37.0,5.8,5.91,,,,21.0,5.74,5.64,31.0,5.85,5.94,,,,10.0,21.0,,0.0,0.0,,,5.92
7014,D,Dd;Dc,Smolcic I.,Como,6,23,12,8.0,5.81,5.75,,,,,,,,,,,,,,,,,,,,,,,5.95
6013,D,Dd;Ds;E,Barbieri,Cremonese,6,23,10,,,,,,,2.0,6.0,6.0,,,,,,,,,,,,1.0,,,,,5.94
4378,D,Ds;Dc,Ranieri L.,Fiorentina,6,26,10,36.0,5.92,5.96,25.0,5.86,5.88,8.0,6.25,6.19,27.0,5.7,5.65,,,,3.0,5.5,5.17,15.0,23.0,1.0,0.0,,,,5.96
5449,D,E,Parisi,Fiorentina,6,24,12,20.0,6.0,6.22,21.0,5.69,5.64,33.0,6.14,6.14,23.0,5.91,5.85,,,,,,,20.0,18.0,27.0,0.0,,,,6.23
5739,D,Dd;Dc,De Winter,Milan,6,23,10,24.0,5.85,6.1,29.0,5.84,5.74,13.0,5.73,5.62,0.0,0.0,0.0,,,,,,,8.0,15.0,8.0,0.0,,,,5.99
6039,D,B;Ds;E,Cabal,Juventus,6,24,9,6.0,6.33,6.25,19.0,5.82,5.66,9.0,5.89,5.72,,,,,,,,,,15.0,10.0,2.0,,,,,5.98
7175,D,E,Joao Mario,Bologna,6,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
5620,D,Ds;E,Tavares N.,Lazio,6,25,18,23.0,6.28,6.5,,,,,,,,,,,,,,,,10.0,,,,,,,6.11
